sid	retired	reason	successor_sid
329898	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329899	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329932	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329970	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329975	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
330054	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
306767	2026-07-12	merged: SIMBAD xid attributes WDS 19463+1037 D to gam Aql itself — the synth D record was a duplicate of the first-class star (bridge in sameas-overrides.tsv)	2343
323225	2026-07-12	merged: ORB6 curated HIP 66676 identifies 13401-6033 Ca as the first-class catalog star — the synth Ca record was a duplicate (bridge in sameas-overrides.tsv)	298914
1666	2026-08-27	component stops promoting: its anchor primary sigma Ori A (HIP 26549) reaches no owned parallax and parks out of the catalogue, so nothing remains to promote the component from. A presence event, not a dissolution — the pair is unchanged and Gaia DR4 fitting the primary reinstates this sid	
6391	2026-08-27	component stops promoting: its anchor primary sigma Ori A (HIP 26549) reaches no owned parallax and parks out of the catalogue, so nothing remains to promote the component from. A presence event, not a dissolution — the pair is unchanged and Gaia DR4 fitting the primary reinstates this sid	
241607	2026-08-27	component stops promoting: its anchor primary HIP 90996 / HD 171365 reaches no owned parallax and parks out of the catalogue, so nothing remains to promote the component from. A presence event, not a dissolution — the pair is unchanged and Gaia DR4 fitting the primary reinstates this sid	
330112	2026-08-27	component stops promoting: its anchor primary HIP 7979 reaches no owned parallax and parks out of the catalogue, so nothing remains to promote the component from. A presence event, not a dissolution — the pair is unchanged and Gaia DR4 fitting the primary reinstates this sid	
